utt_id,path,text,text_enhanced,spkid,start_s,end_s,problems
110622_A1203345170#20916#9005548754063615,110622/A1203345170#20916#9005548754063615.wav,KỂ CHUYỆN CON SÓI,KỂ CHUYỆN CON SÓI,110622,2.83208547008547,3.875106389040432,['Tạp âm']
110622_A1203347923#20913#9005547977216968,110622/A1203347923#20913#9005547977216968.wav,DỪNG PHÁT NHẠC,DỪNG PHÁT NHẠC,110622,1.800050391737892,2.856600528522404,['Đọc khó nghe']
110622_A1204987318#20912#9005548642297960,110622/A1204987318#20912#9005548642297960.wav,THIẾU NHI,THIẾU NHI,110622,2.510999999999997,5.450999999999999,['Đọc khó nghe']
110622_A1204987318#20912#9005548484748331,110622/A1204987318#20912#9005548484748331.wav,BA MƯƠI PHÚT NỮA NHÉ MÌNH DỪNG CỦA ANH CHO ĐỐT MỠ NHÉ,30 PHÚT NỮA NHÉ MÌNH DỪNG CỦA ANH CHO ĐỐT MỠ NHÉ,110622,1.4218675213675216,4.477773504273503,['Đọc khó nghe']
110622_A1204987318#20912#9005548891049664,110622/A1204987318#20912#9005548891049664.wav,TIẾNG ANH,TIẾNG ANH,110622,0.2574648232149858,1.0661400368901996,['Đọc khó nghe']
110622_A1204987318#20912#9005547926001547,110622/A1204987318#20912#9005547926001547.wav,MẸ TAO M HAI KHÔNG,MẸ TAO M20,110622,3.794335113960114,6.166033831908831,"['Tạp âm', 'Đọc khó nghe']"
110622_A1210378632#20911#9005548896918822,110622/A1210378632#20911#9005548896918822.wav,GẦN ĐÂU CÓ BAO NHIÊU ĐỨA CON,GẦN ĐÂU CÓ BAO NHIÊU ĐỨA CON,110622,2.5583076923076926,4.671153846153846,['Đọc khó nghe']
110622_A1203021657#20910#9005548562488566,110622/A1203021657#20910#9005548562488566.wav,MỞ MẮT KHỎI,MỞ MẮT KHỎI,110622,1.7475071225071226,2.9805982905982904,['Đọc khó nghe']
110622_A1118713245#20908#9005548909909504,110622/A1118713245#20908#9005548909909504.wav,ĐÓNG TIỆM VẢI,ĐÓNG TIỆM VẢI,110622,1.708963675213675,3.158963675213675,['Đọc khó nghe']
110622_A1049206671#20906#9005548311599470,110622/A1049206671#20906#9005548311599470.wav,CHUYỆN TÌNH CHỊ TỚI MƯỜI HAI GIỜ TRƯA,CHUYỆN TÌNH CHỊ TỚI 12 GIỜ TRƯA,110622,2.4173518518518544,5.692417700350397,['Tạp âm']
110622_A1118187919#20899#9005548912143748,110622/A1118187919#20899#9005548912143748.wav,BẬT TI VI,BẬT TIVI,110622,1.292034366096866,2.020814992877492,['Tạp âm']
110622_A1118187919#20899#9005548405035451,110622/A1118187919#20899#9005548405035451.wav,BÀI NHẠC MISTER SIRO,BÀI NHẠC MR SIRO,110622,2.691464387464387,5.033796296296296,['Có từ tiếng Anh']
110622_A1118187919#20899#9005548912987708,110622/A1118187919#20899#9005548912987708.wav,CHÀO KHÁCH,CHÀO KHÁCH,110622,1.6826046602236917,2.1859246388561693,['Tạp âm']
110622_A1203991701#20898#9005548446578601,110622/A1203991701#20898#9005548446578601.wav,TẮT,TẮT,110622,1.6917207977207975,2.004917378917379,['Tạp âm']
110622_A1203991701#20898#9005548287843097,110622/A1203991701#20898#9005548287843097.wav,MỞ BÀI TÉT ĐI BIA,MỞ BÀI TEDDY BEAR,110622,1.4914139957264954,2.954375046099979,['Đọc khó nghe']
110622_A1203991701#20898#9005548021783250,110622/A1203991701#20898#9005548021783250.wav,MỞ BÀI TÉT ĐI BIA,MỞ BÀI TEDDY BEAR,110622,2.15,4.185794543997669,['Có từ tiếng Anh']
110622_A1203991701#20898#9005548287382448,110622/A1203991701#20898#9005548287382448.wav,MỞ BÀI THE BORING MAN,MỞ BÀI THE BORING MAN,110622,1.4300042735042733,3.788624923688394,['Có từ tiếng Anh']
110622_A1210850185#20897#9005548750654657,110622/A1210850185#20897#9005548750654657.wav,MỞ BÀI HÁT MISTER SIRO KHÔNG CẦN THÊM MỘT AI NỮA,MỞ BÀI HÁT MR SIRO KHÔNG CẦN THÊM MỘT AI NỮA,110622,1.6970373931623937,5.897625,['Có từ tiếng Anh']
110622_A1210041017#20896#9005548440955333,110622/A1210041017#20896#9005548440955333.wav,BÀI HÁT LOVE GIRL CỦA BLACK PINK,BÀI HÁT LOVE GIRL CỦA BLACK PINK,110622,1.3321378205128198,5.029916666666666,"['Đọc khó nghe', 'Có từ tiếng Anh']"
110622_A1210041017#20896#9005548440252990,110622/A1210041017#20896#9005548440252990.wav,BÀI HÁT LA TINH,BÀI HÁT LATINH,110622,1.618988782051282,3.1000801282051307,"['Tạp âm', 'Đọc khó nghe']"
110622_A1048036486#20896#9005548908839684,110622/A1048036486#20896#9005548908839684.wav,FEDERATION DỊCH RA TIẾNG VIỆT LÀ GÌ,FEDERATION DỊCH RA TIẾNG VIỆT LÀ GÌ,110622,1.1786435185185182,3.559525762432012,['Có từ tiếng Anh']
110622_A1048036486#20896#9005548704611262,110622/A1048036486#20896#9005548704611262.wav,MỞ NHẠC PHẬT ON YOUR FRIENDS CLOSE,MỞ NHẠC PHẬT ON YOUR FRIENDS CLOSE,110622,1.1578333333333335,3.347578232405892,"['Đọc khó nghe', 'Có từ tiếng Anh']"
110622_A1048036486#20896#9005548656573936,110622/A1048036486#20896#9005548656573936.wav,NGÀY MAI,NGÀY MAI,110622,2.841431623931624,3.669785011732379,['Đọc khó nghe']
110622_A1210041017#20896#9005548647741016,110622/A1210041017#20896#9005548647741016.wav,BỆNH TRÁI RẠ RỒI ĐẤY,BỆNH TRÁI RẠ RỒI ĐẤY,110622,1.6471475834449256,2.835291088541968,['Tạp âm']
110622_A1204491686#20893#9005548803145450,110622/A1204491686#20893#9005548803145450.wav,TẮT ĐÈN HAI,TẮT ĐÈN 2,110622,1.3542978988603984,2.366910078347577,['Tạp âm']
110622_A1204491686#20893#9005548373448724,110622/A1204491686#20893#9005548373448724.wav,MỞ NHẠC RÌ MIC SỜ,MỞ NHẠC REMIX,110622,1.6816682692307685,2.5382964743589733,['Audio trống']
110622_A1204491686#20893#9005548889309768,110622/A1204491686#20893#9005548889309768.wav,MỞ CHO MÌNH MỞ NHẠC RI MIC,MỞ CHO MÌNH MỞ NHẠC REMIX,110622,0.631690705128205,1.8460038745729528,['Có từ tiếng Anh']
110622_A114414794#3972#9005548699325184,110622/A114414794#3972#9005548699325184.wav,KỂ CHUYỆN CỔ TÍCH,KỂ CHUYỆN CỔ TÍCH,110622,1.2974056267806264,2.791637464387464,['Tạp âm']
110622_A114414794#3972#9005549821611245,110622/A114414794#3972#9005549821611245.wav,TỰ DƯNG CON KHÔNG HIỆN LÊN LÀ CON ĐI HỌC Ở TRONG LỚP XONG RỒI VỀ NHÀ LÀ CON QUÊN LUÔN,TỰ DƯNG CON KHÔNG HIỆN LÊN LÀ CON ĐI HỌC Ở TRONG LỚP XONG RỒI VỀ NHÀ LÀ CON QUÊN LUÔN,110622,0.6483750000000006,4.647262963344655,['Đọc khó nghe']
110622_A114414794#3972#9005550170259575,110622/A114414794#3972#9005550170259575.wav,CỔ TÍCH HÌNH TRÒN,CỔ TÍCH HÌNH TRÒN,110622,2.3899049145299136,4.764145202568931,"['Tạp âm', 'Đọc khó nghe']"
110622_A114414794#3972#9005550337038010,110622/A114414794#3972#9005550337038010.wav,CỤC CỨC,CỤC CỨC,110622,1.483452635327635,2.2300311609686605,['Tạp âm']
110622_A114414794#3972#9005549995422242,110622/A114414794#3972#9005549995422242.wav,KỂ CHUYỆN CỔ TÍCH,KỂ CHUYỆN CỔ TÍCH,110622,1.956402243589744,3.242747486888113,['Tạp âm']
110622_A114414794#3972#9005548955202957,110622/A114414794#3972#9005548955202957.wav,KỂ CHUYỆN CỔ TÍCH,KỂ CHUYỆN CỔ TÍCH,110622,1.53,2.9454814814814814,['Tạp âm']
110622_A114414794#3972#9005549484064883,110622/A114414794#3972#9005549484064883.wav,CỔ TÍCH,CỔ TÍCH,110622,2.103666666666667,2.8049570707070712,['Đọc khó nghe']
110622_A1203105132#20877#9005548962113770,110622/A1203105132#20877#9005548962113770.wav,KỂ CHUYỆN MA,KỂ CHUYỆN MA,110622,2.1882290290727777,3.585304777201029,['Tạp âm']
110622_A1203105132#20877#9005548962416695,110622/A1203105132#20877#9005548962416695.wav,MỞ NHẠC,MỞ NHẠC,110622,1.2580368589743591,1.85497061965812,['Tạp âm']
110622_A114005962#3969#9005549092856865,110622/A114005962#3969#9005549092856865.wav,BÀI HÁT VÌ MÌNH CÒN THÍCH CẬU RỒI,BÀI HÁT VÌ MÌNH CÒN THÍCH CẬU RỒI,110622,1.21875089031339,3.370551994301995,['Đọc khó nghe']
110622_A1210164474#20871#9005548553299020,110622/A1210164474#20871#9005548553299020.wav,MỞ BÀI HÁT BUỒN LÀM CHI EM ƠI,MỞ BÀI HÁT BUỒN LÀM CHI EM ƠI,110622,1.4636730769230772,4.352052271736763,['Tạp âm']
110622_A1204484585#20870#9005548965722952,110622/A1204484585#20870#9005548965722952.wav,TẮT NHẠC,TẮT NHẠC,110622,1.601601756361625,2.2209375000000007,['Tạp âm']
110622_A1203421097#20868#9005548290967323,110622/A1203421097#20868#9005548290967323.wav,ĂN TRỘM PHẦN HAI,ĂN TRỘM PHẦN 2,110622,1.4279394586894587,1.4681631054131052,"['Tạp âm', 'Đọc khó nghe']"
110622_A1203421097#20868#9005547919159287,110622/A1203421097#20868#9005547919159287.wav,KỂ CHUYỆN DẾ MÈN PHIÊU LƯU KÝ,KỂ CHUYỆN DẾ MÈN PHIÊU LƯU KÝ,110622,2.043571361633448,4.611838455650542,['Audio trống']
110622_A1203698759#20863#9005548276176165,110622/A1203698759#20863#9005548276176165.wav,TẮT NHẠC ĐI,TẮT NHẠC ĐI,110622,0.5502279202279199,1.417129629629629,['Tạp âm']
110622_A1203756183#20856#9005548489662967,110622/A1203756183#20856#9005548489662967.wav,MỞ NHẠC E D M TIK TOK,MỞ NHẠC EDM TIK TOK,110622,2.1703112535612537,4.5161774758806015,['Tạp âm']
110622_A1203756183#20856#9005548638057469,110622/A1203756183#20856#9005548638057469.wav,CẢM ÂM LƯỢNG,CẢM ÂM LƯỢNG,110622,1.4145833333333333,1.9984161258775608,['Đọc khó nghe']
110622_A1203581179#20855#9005548961449760,110622/A1203581179#20855#9005548961449760.wav,MỞ BÀI NHẠC BĂNG KHÔNG CHẾT,MỞ BÀI NHẠC BĂNG KHÔNG CHẾT,110622,2.03,6.1,"['Đọc khó nghe', 'Có từ tiếng Anh']"
110622_A1203581179#20855#9005548876275536,110622/A1203581179#20855#9005548876275536.wav,MỞ BÀI BƯỚC QUA MÙA CÔ ĐƠN CỦA VŨ,MỞ BÀI BƯỚC QUA MÙA CÔ ĐƠN CỦA VŨ,110622,1.59,3.6831041302447542,['Đọc khó nghe']
110622_A1203581179#20855#9005548888277425,110622/A1203581179#20855#9005548888277425.wav,MỞ BÀI HÁT PLAY THE MOON,MỞ BÀI HÁT PLAY THE MOON,110622,1.7482110042735046,3.408211004273505,"['Đọc khó nghe', 'Có từ tiếng Anh']"
110622_A1203581179#20855#9005548010522573,110622/A1203581179#20855#9005548010522573.wav,LẶP LẠI BÀI HÁT THE MEN,LẶP LẠI BÀI HÁT THE MEN,110622,2.059777777777778,4.192068376068376,['Đọc khó nghe']
110622_A1204790343#20854#9005548962381936,110622/A1204790343#20854#9005548962381936.wav,MỞ NHẠC MẸ YÊU ƠI,MỞ NHẠC MẸ YÊU ƠI,110622,1.9711538461538465,4.045594611141421,['Tạp âm']
110622_A1204790343#20854#9005548961402341,110622/A1204790343#20854#9005548961402341.wav,DỪNG KỂ CHUYỆN,DỪNG KỂ CHUYỆN,110622,1.3592368234958276,2.506994124065628,['Đọc khó nghe']
110622_A1204790343#20854#9005548873932738,110622/A1204790343#20854#9005548873932738.wav,MỞ PHIM HOẠT HÌNH ĐÔ RA Ê MOL,MỞ PHIM HOẠT HÌNH DORAEMON,110622,1.5706250000000002,3.6328125,['Tạp âm']
110622_A1203485899#20850#9005548956614817,110622/A1203485899#20850#9005548956614817.wav,GIẢM ÂM LƯỢNG VỀ MỨC HAI,GIẢM ÂM LƯỢNG VỀ MỨC 2,110622,1.829346153846154,3.234904558404558,['Tạp âm']
110622_A1204809050#20843#9005548606916426,110622/A1204809050#20843#9005548606916426.wav,EM YÊU,EM YÊU,110622,0.6039716880341879,1.232492803475115,['Đọc khó nghe']
110622_A1204809050#20843#9005548354331129,110622/A1204809050#20843#9005548354331129.wav,TẮT ĐÈN,TẮT ĐÈN,110622,1.8301607905982904,2.3956821581196595,['Audio trống']
110622_A1203873092#20842#9005548971137982,110622/A1203873092#20842#9005548971137982.wav,THAY ĐỔI CHẾ ĐỘ PHẢN QUANG LÊ,THAY ĐỔI CHẾ ĐỘ PHẢN QUANG LÊ,110622,2.4,4.491152972027972,['Đọc khó nghe']
110622_A1203873092#20842#9005548623696892,110622/A1203873092#20842#9005548623696892.wav,DỪNG NHẠC,DỪNG NHẠC,110622,1.4197492877492877,2.079371794871795,"['Tạp âm', 'Đọc khó nghe']"
110622_A1203876429#20836#9005548372116332,110622/A1203876429#20836#9005548372116332.wav,CON SỐ CHIỀU NAY,CON SỐ CHIỀU NAY,110622,1.5006271367521369,2.287161324786325,['Có từ tiếng Anh']
110622_A1203876429#20836#9005548111288527,110622/A1203876429#20836#9005548111288527.wav,BẬT ĐÈN,BẬT ĐÈN,110622,1.5648146367521365,2.2675384615384613,['Tạp âm']
110622_A1049206671#20832#9005548990735643,110622/A1049206671#20832#9005548990735643.wav,THỜI TIẾT HIỆN TẠI,THỜI TIẾT HIỆN TẠI,110622,1.5266688034188034,2.635105708527584,['Tạp âm']
110622_A114501345#3962#9005548035880262,110622/A114501345#3962#9005548035880262.wav,CON VỊT,CON VỊT,110622,3.4385911680911687,4.150828028399427,['Tạp âm']
110622_A114501345#3962#9005549680378750,110622/A114501345#3962#9005549680378750.wav,TÌM BÀI HÁT MỘT CON VỊT,TÌM BÀI HÁT MỘT CON VỊT,110622,1.5077207977207978,2.6947386930199424,['Tạp âm']
110622_A114501345#3962#9005548028456565,110622/A114501345#3962#9005548028456565.wav,CON VỊT,CON VỊT,110622,2.283535256410256,2.811688568376068,['Đọc khó nghe']
110622_A1203756601#20817#9005548483517723,110622/A1203756601#20817#9005548483517723.wav,MỞ BÀI TIẾP THEO,MỞ BÀI TIẾP THEO,110622,1.2503899572649575,2.286271367521368,['Đọc khó nghe']
110622_A1203756601#20817#9005548977568374,110622/A1203756601#20817#9005548977568374.wav,KHÔNG PHẢI LÀ HÊN HAY XUI,KHÔNG PHẢI LÀ HÊN HAY XUI,110622,3.0131969373219376,4.266044996689779,['Đọc khó nghe']
110622_A1112639022#3928#9005550431417507,110622/A1112639022#3928#9005550431417507.wav,KỂ CHUYỆN THÁNH GIÓNG,KỂ CHUYỆN THÁNH GIÓNG,110622,1.8615625,3.395763888888889,['Tạp âm']
110622_A1210852874#20811#9005548979182959,110622/A1210852874#20811#9005548979182959.wav,MỞ NHẠC LOSSLESS CHIỀU,MỞ NHẠC LOSSLESS CHIỀU,110622,1.3735790598290598,2.7993721794707143,['Đọc khó nghe']
110622_A1210852874#20811#9005548178184119,110622/A1210852874#20811#9005548178184119.wav,OK GOOGLE,OK GOOGLE,110622,1.8437010327635328,2.642192862114737,['Đọc khó nghe']
110622_A1048635858#20781#9005548892295994,110622/A1048635858#20781#9005548892295994.wav,THÊM BÀI NÀY VÀO DANH SÁCH YÊU THÍCH,THÊM BÀI NÀY VÀO DANH SÁCH YÊU THÍCH,110622,1.46,3.3692909166663285,['Có từ tiếng Anh']
110622_A1048635858#20781#9005549025925344,110622/A1048635858#20781#9005549025925344.wav,MƯỜI LĂM PHÚT NỮA TẮT NHẠC,15 PHÚT NỮA TẮT NHẠC,110622,1.93,3.6527640669515664,['Tạp âm']
110622_A1048635858#20781#9005549025490756,110622/A1048635858#20781#9005549025490756.wav,MƯỜI LĂM PHÚT NỮA TẮT NHÉ,15 PHÚT NỮA TẮT NHÉ,110622,1.544531339031339,3.2523133903133905,['Audio trống']
110622_A1202618189#20772#9005548982148636,110622/A1202618189#20772#9005548982148636.wav,BẠN CÓ NGƯỜI YÊU CHƯA,BẠN CÓ NGƯỜI YÊU CHƯA,110622,2.9511734330484334,4.288073361823361,['Tạp âm']
110622_A1202618189#20772#9005548627063163,110622/A1202618189#20772#9005548627063163.wav,TẮT NHẠC,TẮT NHẠC,110622,1.2758244301994288,1.9767966524216525,['Tạp âm']
110622_A1202618189#20772#9005549056918440,110622/A1202618189#20772#9005549056918440.wav,BẠN CÓ NGƯỜI YÊU CHƯA,BẠN CÓ NGƯỜI YÊU CHƯA,110622,2.3323732193732187,3.704736467236467,['Tạp âm']
110622_A1203403804#20769#9005547938610321,110622/A1203403804#20769#9005547938610321.wav,BẬT QUẠT,BẬT QUẠT,110622,1.479167022792023,2.495462922494172,['Tạp âm']
110622_A1203403804#20769#9005549053729699,110622/A1203403804#20769#9005549053729699.wav,MỞ BÀI,MỞ BÀI,110622,2.9993002136752143,3.951002458022671,['Tạp âm']
110622_A1203403804#20769#9005548542861070,110622/A1203403804#20769#9005548542861070.wav,MỞ BÀI GANG NAM SÌ TAI,MỞ BÀI GANGNAM STYLE,110622,1.9537179487179488,3.486136752136751,"['Tạp âm', 'Có từ tiếng Anh']"
110622_A1203403804#20769#9005548542153748,110622/A1203403804#20769#9005548542153748.wav,MỞ BÀI GANG NAM SÌ TAI,MỞ BÀI GANGNAM STYLE,110622,1.6167503561253562,2.85308530011655,['Có từ tiếng Anh']
110622_A1203403804#20769#9005548011540824,110622/A1203403804#20769#9005548011540824.wav,HÔM NAY THỜI TIẾT NHƯ THẾ NÀO,HÔM NAY THỜI TIẾT NHƯ THẾ NÀO,110622,1.882854166666666,2.9944476862952625,['Tạp âm']
110622_A1203403804#20769#9005548014128211,110622/A1203403804#20769#9005548014128211.wav,MỞ BÀI GANG NAM SÌ TAI,MỞ BÀI GANGNAM STYLE,110622,1.3124950067694725,2.751374992524456,['Có từ tiếng Anh']
110622_A1203403804#20769#9005549055674148,110622/A1203403804#20769#9005549055674148.wav,GIẢM DUNG LƯỢNG,GIẢM DUNG LƯỢNG,110622,2.160534722222222,3.7324445860852102,['Tạp âm']
110622_A1203403804#20769#9005548005451186,110622/A1203403804#20769#9005548005451186.wav,TĂNG ÂM LƯỢNG,TĂNG ÂM LƯỢNG,110622,1.5949811253561257,2.4027982549857545,['Tạp âm']
110622_A1203403804#20769#9005548881965540,110622/A1203403804#20769#9005548881965540.wav,MỞ BÀI GANG NAM SỜ TAI,MỞ BÀI GANGNAM STYLE,110622,1.69,4.31,['Đọc khó nghe']
110622_A1203403804#20769#9005548059254615,110622/A1203403804#20769#9005548059254615.wav,MAY CAN À,MAY CAN À,110622,3.2090242165242167,5.127750712250712,['Đọc khó nghe']
110622_A1048293378#425#9005548050350808,110622/A1048293378#425#9005548050350808.wav,MẤY GIỜ,MẤY GIỜ,110622,1.3638557692307698,2.134285256410257,['Tạp âm']
110622_A1210213857#20761#9005548918644342,110622/A1210213857#20761#9005548918644342.wav,MỞ NHẠC THIẾU NHI,MỞ NHẠC THIẾU NHI,110622,2.0215299145299146,2.964354166666667,['Tạp âm']
110622_A1210213857#20761#9005548918398114,110622/A1210213857#20761#9005548918398114.wav,MỞ NHẠC EM NGHE,MỞ NHẠC EM NGHE,110622,2.048508547008546,3.6060081642358135,['Tạp âm']
110622_A1210367267#20753#9005549052266462,110622/A1210367267#20753#9005549052266462.wav,BÀ NANCY PELOSI LÀ CHỦ TỊCH HẠ VIỆN QUỐC HỘI MỸ,BÀ NANCY PELOSI LÀ CHỦ TỊCH HẠ VIỆN QUỐC HỘI MỸ,110622,3.265898504273504,6.157742305970353,['Đọc khó nghe']
110622_A1203514292#20520#9005548013736583,110622/A1203514292#20520#9005548013736583.wav,CON LỢN,CON LỢN,110622,0.1812669178742288,1.9600804848104356,"['Tạp âm', 'Đọc khó nghe']"
110622_A1210363411#20517#9005548828327141,110622/A1210363411#20517#9005548828327141.wav,TẮT NHẠC,TẮT NHẠC,110622,1.418592430368374,2.0746553234501333,['Tạp âm']
110622_A1210367267#20753#9005548587152579,110622/A1210367267#20753#9005548587152579.wav,MỞ NHẠC XÀM,MỞ NHẠC XÀM,110622,1.4019722222222226,2.1694720429819,['Tạp âm']
110622_A114326454#20749#9005548281461388,110622/A114326454#20749#9005548281461388.wav,BẬT BÀI ĐOẠN TUYỆT HOÀNG RI MIC,BẬT BÀI ĐOẠN TUYỆT HOÀNG REMIX,110622,1.0791923076923078,3.2532407407407407,['Đọc khó nghe']
110622_A1048293378#425#9005549926108771,110622/A1048293378#425#9005549926108771.wav,MẤY GIỜ,MẤY GIỜ,110622,1.4130231481481486,2.5030315130471386,['Tạp âm']
110622_A1203130629#20748#9005548963036321,110622/A1203130629#20748#9005548963036321.wav,MỰC BÀI CÔNG CHÚA BONG BÓNG,MỰC BÀI CÔNG CHÚA BONG BÓNG,110622,1.5569497863247863,4.577931713228353,['Đọc khó nghe']
